day,rank,motion_bin,light_bin_log,motion_min,motion_max,light_min,light_max,total_windows,pos_windows,neg_windows,overlap_windows,overlap_minutes,pos_ratio,example_pos_time,example_neg_time
4,1,"(-0.001, 0.024]","(1.41, 2.709]",0.0,0.02382,3.0974,14.0129,1240,154,1086,154,25.666666666666668,0.12419354838709677,2025-12-04 00:27:22,2025-12-04 00:00:17
4,2,"(0.271, 412.552]","(6.86, 6.977]",0.27135,340.265,952.4774,1038.1364,126,54,72,54,9.0,0.42857142857142855,2025-12-04 07:16:49,2025-12-04 06:58:45
4,3,"(0.024, 0.0616]","(1.41, 2.709]",0.02417,0.06146,3.0974,14.0129,367,44,323,44,7.333333333333333,0.11989100817438691,2025-12-04 00:27:43,2025-12-04 00:00:37
4,4,"(0.0616, 0.0971]","(1.41, 2.709]",0.06161,0.09699,3.0974,14.00645,354,38,316,38,6.333333333333333,0.10734463276836158,2025-12-04 00:29:46,2025-12-04 00:00:07
4,5,"(-0.001, 0.024]","(6.847, 6.86]",0.0,0.02203,940.25806,951.9677,80,37,43,37,6.166666666666667,0.4625,2025-12-04 05:17:32,2025-12-04 05:19:56
5,1,"(0.271, 412.552]","(6.977, 7.521]",0.27146,222.30882,1071.5032,1745.7677,159,64,95,64,10.666666666666666,0.4025157232704403,2025-12-05 08:57:55,2025-12-05 08:13:57
5,2,"(-0.001, 0.024]","(6.977, 7.521]",0.0,0.02395,1074.0452,1747.3226,283,40,243,40,6.666666666666667,0.1413427561837456,2025-12-05 09:01:59,2025-12-05 08:11:44
5,3,"(0.271, 412.552]","(6.15, 6.847]",0.27291,296.50497,471.38065,939.7355,131,34,97,34,5.666666666666667,0.2595419847328244,2025-12-05 14:41:13,2025-12-05 06:40:14
5,4,"(-0.001, 0.024]","(6.847, 6.86]",0.0,0.02346,940.013,951.9415,326,29,297,29,4.833333333333333,0.08895705521472393,2025-12-05 18:02:56,2025-12-05 06:45:00
5,5,"(0.271, 412.552]","(6.847, 6.86]",0.27175,152.98274,940.0129,951.59357,183,28,155,28,4.666666666666667,0.15300546448087432,2025-12-05 18:02:15,2025-12-05 06:45:52
6,1,"(0.271, 412.552]","(6.977, 7.521]",0.27069,283.17596,1071.3484,1845.2244,430,146,284,146,24.333333333333332,0.3395348837209302,2025-12-06 08:14:19,2025-12-06 08:05:07
6,2,"(-0.001, 0.024]","(6.977, 7.521]",0.0,0.0237,1071.7549,1826.6688,428,122,306,122,20.333333333333332,0.2850467289719626,2025-12-06 08:27:47,2025-12-06 08:07:40
6,3,"(-0.001, 0.024]","(6.847, 6.86]",0.0,0.02387,940.5613,950.96106,332,100,232,100,16.666666666666668,0.30120481927710846,2025-12-06 17:58:59,2025-12-06 17:21:19
6,4,"(-0.001, 0.024]","(1.399, 1.41]",0.0,0.02395,3.05806,3.09677,379,86,293,86,14.333333333333334,0.22691292875989447,2025-12-06 03:13:26,2025-12-06 00:00:44
6,5,"(0.188, 0.271]","(6.977, 7.521]",0.18823,0.27044,1072.3312,1776.0454,321,83,238,83,13.833333333333334,0.2585669781931464,2025-12-06 08:04:46,2025-12-06 08:07:30
7,1,"(0.271, 412.552]","(6.977, 7.521]",0.27094,213.5838,1073.5032,1478.6968,152,68,84,68,11.333333333333334,0.4473684210526316,2025-12-07 08:20:25,2025-12-07 08:17:11
7,2,"(-0.001, 0.024]","(6.977, 7.521]",0.0,0.02338,1071.8323,1497.1807,212,42,170,42,7.0,0.19811320754716982,2025-12-07 08:51:05,2025-12-07 08:17:41
7,3,"(0.271, 412.552]","(6.86, 6.977]",0.27109,159.68938,952.071,1070.6884,166,39,127,39,6.5,0.23493975903614459,2025-12-07 06:54:12,2025-12-07 06:56:56
7,4,"(0.271, 412.552]","(6.15, 6.847]",0.27086,320.62326,475.2,939.80646,186,37,149,37,6.166666666666667,0.1989247311827957,2025-12-07 06:53:32,2025-12-07 09:49:01
7,5,"(0.0971, 0.136]","(6.977, 7.521]",0.09721,0.13616,1072.7742,1544.542,124,36,88,36,6.0,0.2903225806451613,2025-12-07 08:50:55,2025-12-07 08:16:51
8,1,"(0.271, 412.552]","(6.977, 7.521]",0.27122,272.55905,1071.6387,1781.5161,342,176,166,166,27.666666666666668,0.5146198830409356,2025-12-08 08:37:54,2025-12-08 08:35:41
8,2,"(-0.001, 0.024]","(6.977, 7.521]",0.0,0.02384,1071.8904,1781.0258,259,101,158,101,16.833333333333332,0.38996138996138996,2025-12-08 08:39:57,2025-12-08 08:34:30
8,3,"(0.271, 412.552]","(6.15, 6.847]",0.27133,273.24582,482.65805,939.63873,273,77,196,77,12.833333333333334,0.28205128205128205,2025-12-08 07:15:16,2025-12-08 09:36:20
8,4,"(0.188, 0.271]","(6.977, 7.521]",0.18823,0.27045,1076.0839,1775.3613,231,76,155,76,12.666666666666666,0.329004329004329,2025-12-08 08:38:35,2025-12-08 08:34:50
8,5,"(0.271, 412.552]","(6.86, 6.977]",0.27353,250.29066,952.07794,1070.1299,203,64,139,64,10.666666666666666,0.31527093596059114,2025-12-08 07:15:27,2025-12-08 07:17:09
9,1,"(0.271, 412.552]","(6.15, 6.847]",0.27088,251.89023,469.2987,939.929,261,93,168,93,15.5,0.3563218390804598,2025-12-09 07:00:03,2025-12-09 10:37:58
9,2,"(-0.001, 0.024]","(6.15, 6.847]",0.0,0.02393,469.16776,939.929,382,92,290,92,15.333333333333334,0.24083769633507854,2025-12-09 10:54:49,2025-12-09 10:37:26
9,3,"(0.136, 0.188]","(6.15, 6.847]",0.13651,0.18778,470.92258,939.9226,255,64,191,64,10.666666666666666,0.25098039215686274,2025-12-09 10:53:28,2025-12-09 10:34:42
9,4,"(0.024, 0.0616]","(6.15, 6.847]",0.02412,0.0615,469.27097,939.9226,224,61,163,61,10.166666666666666,0.27232142857142855,2025-12-09 10:54:28,2025-12-09 10:35:13
9,5,"(0.188, 0.271]","(6.15, 6.847]",0.18832,0.27053,468.64285,939.9286,294,57,237,57,9.5,0.19387755102040816,2025-12-09 10:54:38,2025-12-09 10:34:53
10,1,"(-0.001, 0.024]","(6.847, 6.86]",0.0,0.02386,940.1883,951.91614,256,95,161,95,15.833333333333334,0.37109375,2025-12-10 16:28:24,2025-12-10 16:15:09
10,2,"(0.271, 412.552]","(6.86, 6.977]",0.27136,278.40033,952.53894,1069.7467,131,70,61,61,10.166666666666666,0.5343511450381679,2025-12-10 08:00:29,2025-12-10 08:02:52
10,3,"(0.271, 412.552]","(6.847, 6.86]",0.27098,325.45245,940.03894,951.8117,140,57,83,57,9.5,0.40714285714285714,2025-12-10 16:27:35,2025-12-10 16:15:16
10,4,"(0.024, 0.0616]","(6.847, 6.86]",0.0242,0.06159,941.7613,951.8571,137,49,88,49,8.166666666666666,0.35766423357664234,2025-12-10 16:28:57,2025-12-10 16:16:10
10,5,"(0.136, 0.188]","(6.847, 6.86]",0.13643,0.18755,941.8312,951.85065,139,46,93,46,7.666666666666667,0.33093525179856115,2025-12-10 16:28:36,2025-12-10 16:17:14
