day,error_type,start,end,minutes_total,seed_hits,seeds,merged_events,fail_reasons,label_mode_source,label_occ_rate_source,motion_mean,light_mean,co2_mean,issue_tag
7,FP,2025-12-07 03:00:50,2025-12-07 04:36:44,285.65,3,"11,22,33",3,occupied_f1_lt_0.580,unoccupied,0.0,0.2063,3.0704,3072.98,likely_model_fp_low_signal
7,FP,2025-12-07 09:53:17,2025-12-07 10:53:08,180.05,3,"11,22,33",3,occupied_f1_lt_0.580,unoccupied,0.0,0.1429,539.9512,2972.76,possible_label_gap_or_boundary
7,FP,2025-12-07 14:10:15,2025-12-07 15:01:37,153.2,3,"11,22,33",3,occupied_f1_lt_0.580,unoccupied,0.0,0.237,430.6492,3195.11,possible_label_gap_or_boundary
7,FP,2025-12-07 13:07:41,2025-12-07 14:07:09,93.15,2,"22,33",2,occupied_f1_lt_0.580,unoccupied,0.0,0.1315,534.3567,3189.38,possible_label_gap_or_boundary
7,FP,2025-12-07 18:14:44,2025-12-07 18:53:02,76.93,2,"11,22",2,occupied_f1_lt_0.580,unoccupied,0.0,0.1225,948.0684,3155.59,possible_label_gap_or_boundary
7,FP,2025-12-07 11:53:27,2025-12-07 12:49:41,56.4,1,33,1,occupied_f1_lt_0.580,unoccupied,0.0,0.1298,678.2918,3114.48,possible_label_gap_or_boundary
7,FP,2025-12-07 16:54:11,2025-12-07 17:35:21,41.33,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.1282,962.6267,3067.35,possible_label_gap_or_boundary
7,FN,2025-12-07 15:24:50,2025-12-07 15:40:20,35.07,3,"11,22,33",3,occupied_f1_lt_0.580,livingroom_normal_use,1.0,1.7481,1192.4675,3037.58,possible_model_miss_despite_signal
7,FN,2025-12-07 05:46:23,2025-12-07 05:49:07,8.7,3,"11,22,33",3,occupied_f1_lt_0.580,livingroom_normal_use,1.0,7.1142,4.1924,2915.39,possible_model_miss_despite_signal
7,FN,2025-12-07 19:07:00,2025-12-07 19:13:08,7.65,2,"11,33",2,occupied_f1_lt_0.580,livingroom_normal_use,1.0,3.1063,948.753,3044.71,possible_model_miss_despite_signal
7,FN,2025-12-07 07:27:56,2025-12-07 07:31:41,6.15,2,"22,33",3,occupied_f1_lt_0.580,livingroom_normal_use,1.0,10.2245,997.9158,2696.38,possible_model_miss_despite_signal
7,FN,2025-12-07 16:37:05,2025-12-07 16:39:38,2.72,1,11,1,occupied_f1_lt_0.580,livingroom_normal_use,1.0,11.7853,1006.2866,2941.06,possible_model_miss_despite_signal
7,FN,2025-12-07 07:19:56,2025-12-07 07:20:37,2.55,3,"11,22,33",3,occupied_f1_lt_0.580,livingroom_normal_use,1.0,36.2212,974.6395,2768.81,possible_model_miss_despite_signal
8,FN,2025-12-08 05:35:46,2025-12-08 06:44:16,204.13,3,"11,22,33",3,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.2241,3.248,3051.44,passive_occupancy_semantics_gap
8,FP,2025-12-08 11:12:59,2025-12-08 11:31:00,36.37,2,"22,33",2,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1432,1657.5447,3320.71,possible_label_gap_or_boundary
8,FP,2025-12-08 13:09:48,2025-12-08 13:42:10,32.53,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.139,865.4142,3209.98,possible_label_gap_or_boundary
8,FP,2025-12-08 09:39:45,2025-12-08 10:10:35,31.0,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.187,537.9715,3189.96,possible_label_gap_or_boundary
8,FP,2025-12-08 10:19:47,2025-12-08 10:50:37,31.0,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.1721,638.966,3232.74,possible_label_gap_or_boundary
