day,error_type,start,end,minutes_total,seed_hits,seeds,merged_events,fail_reasons,label_mode_source,label_occ_rate_source,motion_mean,light_mean,co2_mean,issue_tag
7,FP,2025-12-07 03:00:50,2025-12-07 04:36:44,285.65,3,"11,22,33",3,occupied_f1_lt_0.580,unoccupied,0.0,0.2063,3.0704,3072.98,likely_model_fp_low_signal
7,FP,2025-12-07 09:53:17,2025-12-07 10:53:08,180.05,3,"11,22,33",3,occupied_f1_lt_0.580,unoccupied,0.0,0.1429,539.9512,2972.76,possible_label_gap_or_boundary
7,FP,2025-12-07 14:10:15,2025-12-07 15:01:37,153.2,3,"11,22,33",3,occupied_f1_lt_0.580,unoccupied,0.0,0.237,430.6492,3195.11,possible_label_gap_or_boundary
7,FP,2025-12-07 13:07:41,2025-12-07 14:07:09,93.15,2,"22,33",2,occupied_f1_lt_0.580,unoccupied,0.0,0.1315,534.3567,3189.38,possible_label_gap_or_boundary
7,FP,2025-12-07 18:14:44,2025-12-07 18:53:02,76.93,2,"11,22",2,occupied_f1_lt_0.580,unoccupied,0.0,0.1225,948.0684,3155.59,possible_label_gap_or_boundary
8,FN,2025-12-08 05:35:46,2025-12-08 06:44:16,204.13,3,"11,22,33",3,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.2241,3.248,3051.44,passive_occupancy_semantics_gap
8,FP,2025-12-08 11:12:59,2025-12-08 11:31:00,36.37,2,"22,33",2,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.1432,1657.5447,3320.71,possible_label_gap_or_boundary
8,FP,2025-12-08 13:09:48,2025-12-08 13:42:10,32.53,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.139,865.4142,3209.98,possible_label_gap_or_boundary
8,FP,2025-12-08 09:39:45,2025-12-08 10:10:35,31.0,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.187,537.9715,3189.96,possible_label_gap_or_boundary
8,FP,2025-12-08 10:19:47,2025-12-08 10:50:37,31.0,1,11,1,occupied_f1_lt_0.580,unoccupied,0.0,0.1721,638.966,3232.74,possible_label_gap_or_boundary
9,FN,2025-12-09 10:53:07,2025-12-09 11:53:15,180.75,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.6281,551.7953,3381.41,possible_model_miss_despite_signal
9,FP,2025-12-09 03:50:36,2025-12-09 04:44:16,150.22,3,"11,22,33",6,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.4942,3.0369,3166.69,likely_model_fp_low_signal
9,FN,2025-12-09 06:10:38,2025-12-09 06:53:14,108.53,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.6509,3.6136,3172.11,mixed_fn
9,FP,2025-12-09 03:00:00,2025-12-09 03:24:32,74.1,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.143,3.0372,3235.21,likely_model_fp_low_signal
9,FN,2025-12-09 09:28:27,2025-12-09 09:52:58,74.05,3,"11,22,33",3,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,0.1311,371.3962,3114.54,mixed_fn
10,FP,2025-12-10 01:57:44,2025-12-10 04:25:08,165.87,2,"11,22",2,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.7951,3.6801,2875.98,mixed_fp
10,FP,2025-12-10 04:26:49,2025-12-10 05:49:58,89.08,3,"11,22,33",3,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.5165,3.0292,2766.15,mixed_fp
10,FP,2025-12-10 06:53:11,2025-12-10 07:58:26,76.88,2,"11,22",3,occupied_f1_lt_0.580|occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,unoccupied,0.0,0.5094,20.8677,2731.24,mixed_fp
10,FN,2025-12-10 19:03:25,2025-12-10 19:35:55,65.33,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,3.4215,949.1544,2927.92,possible_model_miss_despite_signal
10,FN,2025-12-10 20:16:39,2025-12-10 20:42:42,52.43,2,"11,33",2,occupied_f1_lt_0.580;occupied_recall_lt_0.500;recall_livingroom_normal_use_lt_0.400,livingroom_normal_use,1.0,1.7271,949.4364,2768.92,possible_model_miss_despite_signal
